gene,average_rank,rank_variance,n_runs_seen
sys-1,1.700000,0.610000,10
tdp-1,3.100000,12.290000,10
jmjd-1.2,6.100000,5.090000,10
gpb-1,6.900000,24.490000,10
rsp-2,7.900000,9.890000,10
sur-6,8.700000,25.010000,10
daf-2,10.000000,9.400000,10
alg-1,11.500000,66.250000,9
fem-1,12.100000,118.690000,8
mut-16,12.800000,58.360000,9
brc-1,13.300000,30.810000,10
ttr-13,13.700000,138.210000,9
egg-3,14.500000,72.050000,9
trr-1,14.600000,62.440000,9
wdr-48,17.300000,36.010000,9
nos-3,17.800000,33.360000,10
ptb-1,18.600000,99.040000,7
cdh-1,18.700000,28.810000,10
tag-325,19.100000,26.090000,9
cyd-1,20.400000,66.640000,8
gcy-5,20.700000,40.010000,9
irld-66,21.100000,40.690000,9
polq-1,21.800000,30.960000,9
rskn-1,24.800000,40.160000,6
unc-52,25.100000,38.290000,7
irld-65,27.300000,31.010000,4
gadr-2,27.500000,25.050000,4
dnj-25,27.600000,20.240000,4
his-45,27.700000,23.010000,4
ZK1067.2,27.800000,40.960000,2
top-3,28.000000,23.400000,3
efl-2,28.100000,25.490000,4
tsr-1,28.100000,20.090000,3
sulp-1,28.200000,23.360000,3
unc-13,28.500000,11.050000,4
mrpl-10,28.800000,6.960000,5
unc-79,28.800000,17.760000,4
tra-2,29.100000,32.490000,1
din-1,29.200000,13.160000,2
ppat-1,29.300000,7.610000,3
srh-173,29.400000,20.040000,2
rcq-5,29.500000,11.450000,2
npp-8,29.800000,12.960000,1
algn-9,29.900000,4.290000,4
C01G6.5,30.000000,3.600000,3
ugt-22,30.000000,5.800000,2
rilp-1,30.100000,7.290000,1
imph-1,30.300000,2.010000,2
lact-2,30.400000,1.440000,2
cutl-28,30.500000,2.250000,1
bcat-1,30.600000,1.440000,1
ule-3,30.600000,1.440000,1
F55G1.6,30.700000,0.810000,1
ugt-33,30.900000,0.090000,1
